Date;Open;High;Low;Close;Adj Close;Volume;Dummy;Damage;Dummy_over_0.5;Damage_over_0.5;Dummy_over_0.75;Damage_over_0.75;Dummy_over_0.90;Damage_over_0.90
04.01.2010;10609.339844;10694.490234;10608.139648;10654.790039;10654.790039;104400000;0;0;0;0;0;0;0;0
05.01.2010;10719.440430;10791.040039;10655.570313;10681.830078;10681.830078;166200000;0;0;0;0;0;0;0;0
06.01.2010;10709.549805;10768.610352;10661.169922;10731.450195;10731.450195;181800000;0;0;0;0;0;0;0;0
07.01.2010;10742.750000;10774.000000;10636.669922;10681.660156;10681.660156;182600000;0;0;0;0;0;0;0;0
08.01.2010;10743.299805;10816.450195;10677.559570;10798.320313;10798.320313;211800000;0;0;0;0;0;0;0;0
12.01.2010;10770.349609;10905.389648;10763.679688;10879.139648;10879.139648;192800000;0;0;0;0;0;0;0;0
13.01.2010;10795.480469;10866.620117;10729.860352;10735.030273;10735.030273;250000000;0;0;0;0;0;0;0;0
14.01.2010;10778.070313;10909.940430;10774.250000;10907.679688;10907.679688;267300000;0;0;0;0;0;0;0;0
15.01.2010;10917.410156;10982.099609;10878.830078;10982.099609;10982.099609;252900000;0;0;0;0;0;0;0;0
18.01.2010;10887.610352;10895.099609;10781.030273;10855.080078;10855.080078;186600000;0;0;0;0;0;0;0;0
19.01.2010;10866.830078;10866.830078;10749.469727;10764.900391;10764.900391;174700000;0;0;0;0;0;0;0;0
20.01.2010;10834.910156;10860.929688;10724.570313;10737.519531;10737.519531;146400000;0;0;0;0;0;0;0;0
21.01.2010;10704.790039;10886.639648;10649.839844;10868.410156;10868.410156;176900000;0;0;0;0;0;0;0;0
22.01.2010;10740.209961;10768.070313;10528.330078;10590.549805;10590.549805;187400000;0;0;0;0;0;0;0;0
25.01.2010;10478.309570;10557.639648;10414.580078;10512.690430;10512.690430;139800000;0;0;0;0;0;0;0;0
26.01.2010;10506.150391;10566.490234;10324.980469;10325.280273;10325.280273;175400000;0;0;0;0;0;0;0;0
27.01.2010;10344.070313;10373.820313;10252.080078;10252.080078;10252.080078;139500000;0;0;0;0;0;0;0;0
28.01.2010;10309.730469;10462.700195;10296.980469;10414.290039;10414.290039;168000000;0;0;0;0;0;0;0;0
29.01.2010;10308.049805;10324.370117;10198.040039;10198.040039;10198.040039;156800000;0;0;0;0;0;0;0;0
01.02.2010;10212.360352;10224.830078;10129.910156;10205.019531;10205.019531;161900000;0;0;0;0;0;0;0;0
02.02.2010;10310.980469;10396.480469;10287.740234;10371.089844;10371.089844;142000000;0;0;0;0;0;0;0;0
03.02.2010;10428.120117;10436.519531;10356.030273;10404.330078;10404.330078;154300000;0;0;0;0;0;0;0;0
04.02.2010;10434.519531;10438.410156;10279.570313;10355.980469;10355.980469;164500000;0;0;0;0;0;0;0;0
05.02.2010;10162.339844;10166.299805;10036.330078;10057.089844;10057.089844;172000000;0;0;0;0;0;0;0;0
08.02.2010;10007.469727;10063.530273;9942.049805;9951.820313;9951.820313;137400000;0;0;0;0;0;0;0;0
09.02.2010;9876.610352;9956.790039;9867.389648;9932.900391;9932.900391;135000000;0;0;0;0;0;0;0;0
10.02.2010;10024.259766;10049.870117;9963.990234;9963.990234;9963.990234;127000000;0;0;0;0;0;0;0;0
12.02.2010;10085.349609;10099.459961;10014.500000;10092.190430;10092.190430;136000000;0;0;0;0;0;0;0;0
15.02.2010;10097.820313;10119.469727;10012.530273;10013.299805;10013.299805;97300000;0;0;0;0;0;0;0;0
16.02.2010;10044.530273;10062.269531;10019.429688;10034.250000;10034.250000;87000000;0;0;0;0;0;0;0;0
17.02.2010;10161.719727;10306.830078;10150.240234;10306.830078;10306.830078;127100000;0;0;0;0;0;0;0;0
18.02.2010;10324.980469;10340.379883;10285.049805;10335.690430;10335.690430;111800000;0;0;0;0;0;0;0;0
19.02.2010;10334.400391;10354.419922;10123.580078;10123.580078;10123.580078;129500000;0;0;0;0;0;0;0;0
22.02.2010;10302.070313;10449.750000;10298.150391;10400.469727;10400.469727;115400000;0;0;0;0;0;0;0;0
23.02.2010;10327.639648;10375.549805;10280.330078;10352.099609;10352.099609;121500000;0;0;0;0;0;0;0;0
24.02.2010;10205.150391;10243.200195;10129.650391;10198.830078;10198.830078;125200000;0;0;0;0;0;0;0;0
25.02.2010;10256.099609;10267.429688;10087.209961;10101.959961;10101.959961;128200000;0;0;0;0;0;0;0;0
26.02.2010;10107.080078;10171.219727;10085.129883;10126.030273;10126.030273;113200000;0;0;0;0;0;0;0;0
01.03.2010;10128.730469;10215.150391;10116.860352;10172.059570;10172.059570;108400000;0;0;0;0;0;0;0;0
02.03.2010;10199.190430;10238.959961;10150.299805;10221.839844;10221.839844;104000000;0;0;0;0;0;0;0;0
03.03.2010;10193.950195;10274.089844;10186.679688;10253.139648;10253.139648;120600000;0;0;0;0;0;0;0;0
04.03.2010;10255.690430;10263.480469;10134.370117;10145.719727;10145.719727;126300000;0;0;0;0;0;0;0;0
05.03.2010;10254.610352;10376.410156;10254.610352;10368.959961;10368.959961;129900000;0;0;0;0;0;0;0;0
08.03.2010;10538.120117;10586.969727;10514.280273;10585.919922;10585.919922;140500000;0;0;0;0;0;0;0;0
09.03.2010;10567.320313;10593.269531;10542.809570;10567.650391;10567.650391;110100000;0;0;0;0;0;0;0;0
10.03.2010;10555.849609;10588.690430;10547.339844;10563.919922;10563.919922;104800000;0;0;0;0;0;0;0;0
