Date,Open,High,Low,Close,Adj Close,Volume,Dummy,Damage,Dummy_over_0.5,Damage_over_0.5,Dummy_over_0.75,Damage_over_0.75,Dummy_over_0.90,Damage_over_0.90
2010-01-04,9970.000000,9970.000000,9970.000000,9970.000000,7929.324219,1,0,0,0,0,0,0,0,0
2010-01-05,10100.000000,10140.000000,10050.000000,10050.000000,7992.950684,1196,0,0,0,0,0,0,0,0
2010-01-06,10140.000000,10210.000000,10140.000000,10210.000000,8120.201172,693,0,0,0,0,0,0,0,0
2010-01-07,10160.000000,10270.000000,10160.000000,10270.000000,8167.920898,141,0,0,0,0,0,0,0,0
2010-01-08,10270.000000,10410.000000,10270.000000,10410.000000,8279.264648,46,0,0,0,0,0,0,0,0
2010-01-12,10480.000000,10480.000000,10480.000000,10480.000000,8334.936523,46,0,0,0,0,0,0,0,0
2010-01-13,10400.000000,10400.000000,10390.000000,10390.000000,8263.358398,66,0,0,0,0,0,0,0,0
2010-01-14,10460.000000,10460.000000,10420.000000,10420.000000,8287.217773,2,0,0,0,0,0,0,0,0
2010-01-15,10430.000000,10440.000000,10430.000000,10440.000000,8303.125000,140,0,0,0,0,0,0,0,0
2010-01-18,10440.000000,10440.000000,10370.000000,10400.000000,8271.311523,144,0,0,0,0,0,0,0,0
2010-01-19,10420.000000,10420.000000,10380.000000,10380.000000,8255.404297,275,0,0,0,0,0,0,0,0
2010-01-20,10350.000000,10360.000000,10300.000000,10310.000000,8199.732422,420,0,0,0,0,0,0,0,0
2010-01-21,10040.000000,10370.000000,10040.000000,10370.000000,8247.451172,937,0,0,0,0,0,0,0,0
2010-01-22,10274.099609,10274.099609,10274.099609,10274.099609,8171.181152,0,0,0,0,0,0,0,0,0
2010-01-25,10320.000000,10320.000000,10250.000000,10250.000000,8152.013672,137,0,0,0,0,0,0,0,0
2010-01-26,10220.000000,10220.000000,10190.000000,10190.000000,8104.294922,201,0,0,0,0,0,0,0,0
2010-01-27,10090.000000,10090.000000,10090.000000,10090.000000,8024.763672,5,0,0,0,0,0,0,0,0
2010-01-28,10130.000000,10130.000000,10130.000000,10130.000000,8056.576660,136,0,0,0,0,0,0,0,0
2010-01-29,10050.000000,10050.000000,9970.000000,9970.000000,7929.324219,170,0,0,0,0,0,0,0,0
2010-02-01,9930.000000,9930.000000,9930.000000,9880.000000,7857.746094,3,0,0,0,0,0,0,0,0
2010-02-02,9980.000000,9980.000000,9960.000000,9960.000000,7921.371094,138,0,0,0,0,0,0,0,0
2010-02-03,10110.000000,10110.000000,10070.000000,10070.000000,8008.854980,65,0,0,0,0,0,0,0,0
2010-02-04,10150.000000,10150.000000,10070.000000,10070.000000,8008.854980,145,0,0,0,0,0,0,0,0
2010-02-05,9930.000000,9960.000000,9920.000000,9940.000000,7905.466797,299,0,0,0,0,0,0,0,0
2010-02-08,9890.000000,9890.000000,9860.000000,9860.000000,7841.841309,140,0,0,0,0,0,0,0,0
2010-02-09,9780.000000,9780.000000,9780.000000,9780.000000,7778.215820,1,0,0,0,0,0,0,0,0
2010-02-10,9820.000000,9820.000000,9820.000000,9820.000000,7810.026855,2,0,0,0,0,0,0,0,0
2010-02-12,9750.000000,9780.000000,9720.000000,9780.000000,7778.215820,17,0,0,0,0,0,0,0,0
2010-02-15,9820.000000,9820.000000,9820.000000,9820.000000,7810.026855,1,0,0,0,0,0,0,0,0
2010-02-16,9818.000000,9818.000000,9818.000000,9818.000000,7808.437500,0,0,0,0,0,0,0,0,0
2010-02-17,9870.000000,10040.000000,9870.000000,10040.000000,7984.996582,560,0,0,0,0,0,0,0,0
2010-02-18,9950.000000,9950.000000,9950.000000,9950.000000,7913.420410,1,0,0,0,0,0,0,0,0
2010-02-19,9890.000000,9890.000000,9860.000000,9860.000000,7841.841309,192,0,0,0,0,0,0,0,0
2010-02-22,9960.000000,10070.000000,9960.000000,10060.000000,8000.904297,3087,0,0,0,0,0,0,0,0
2010-02-23,10000.000000,10000.000000,10000.000000,10000.000000,7953.185547,10,0,0,0,0,0,0,0,0
2010-02-24,9944.799805,9944.799805,9944.799805,9944.799805,7909.283691,0,0,0,0,0,0,0,0,0
