Date,Open,High,Low,Close,Adj Close,Volume,Dummy,Damage,Dummy_over_0.5,Damage_over_0.5,Dummy_over_0.75,Damage_over_0.75,Dummy_over_0.90,Damage_over_0.90
04.01.2010,11200.000000,11200.000000,11150.000000,11190.000000,9389.303711,117,0,0,0,0,0,0,0,0
05.01.2010,11280.000000,11330.000000,11280.000000,11280.000000,9464.821289,540,0,0,0,0,0,0,0,0
06.01.2010,11250.000000,11370.000000,11250.000000,11330.000000,9506.774414,491,0,0,0,0,0,0,0,0
07.01.2010,11350.000000,11390.000000,11350.000000,11390.000000,9557.121094,139,0,0,0,0,0,0,0,0
08.01.2010,11370.000000,11450.000000,11350.000000,11450.000000,9607.462891,582,0,0,0,0,0,0,0,0
12.01.2010,11450.000000,11500.000000,11450.000000,11480.000000,9632.635742,169,0,0,0,0,0,0,0,0
13.01.2010,11480.000000,11600.000000,11480.000000,11500.000000,9649.418945,312,0,0,0,0,0,0,0,0
14.01.2010,11520.000000,11570.000000,11500.000000,11570.000000,9708.153320,853,0,0,0,0,0,0,0,0
15.01.2010,11270.000000,11530.000000,11270.000000,11490.000000,9641.027344,120,0,0,0,0,0,0,0,0
18.01.2010,11450.000000,11580.000000,11450.000000,11560.000000,9699.762695,347,0,0,0,0,0,0,0,0
19.01.2010,11500.000000,11560.000000,11500.000000,11530.000000,9674.591797,35,0,0,0,0,0,0,0,0
20.01.2010,11600.000000,11620.000000,11570.000000,11570.000000,9708.153320,166,0,0,0,0,0,0,0,0
21.01.2010,11550.000000,11630.000000,11550.000000,11630.000000,9758.500977,1902,0,0,0,0,0,0,0,0
22.01.2010,11540.000000,11560.000000,11450.000000,11560.000000,9699.762695,7,0,0,0,0,0,0,0,0
25.01.2010,11400.000000,11640.000000,11400.000000,11510.000000,9657.808594,158,0,0,0,0,0,0,0,0
26.01.2010,11460.000000,11490.000000,11350.000000,11360.000000,9531.946289,23,0,0,0,0,0,0,0,0
27.01.2010,11350.000000,11450.000000,11340.000000,11350.000000,9523.558594,35,0,0,0,0,0,0,0,0
28.01.2010,11300.000000,11300.000000,11230.000000,11280.000000,9464.821289,373,0,0,0,0,0,0,0,0
